verb	freq	adv_continuous	adv_evaluation	adv_manner	adv_temporal	for_pp	fut	in_pp	neg	noSubj	past	perfect	present	progressive	prt
claffify	1	1	1	1	1	1	1	1	1	5	1	5	5	1	1
clafify	1	1	1	1	1	1	1	1	1	3	3	1	1	1	1
clage	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clahs	1	1	1	1	5	1	1	1	1	5	1	1	5	1	1
claieev	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
claiemd	1	1	1	1	1	1	1	1	1	1	1	5	5	1	1
claim	1	1	1	1	1	1	1	1	1	2	3	1	2	1	1
claimable	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
claimd	1	1	1	1	1	1	1	1	1	2	3	2	2	1	1
claime	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
claimeh	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
claiminge	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
claimly	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
clain	1	1	1	1	1	1	1	1	2	1	2	1	3	1	1
clainm	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
claire	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
clairify	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
clam	1	1	1	1	1	1	1	1	1	2	1	1	3	1	3
clamb	1	1	1	1	1	1	1	1	1	5	1	1	1	1	5
clamber	1	1	1	1	1	1	1	1	1	3	3	1	1	1	2
clambor	1	1	1	1	1	1	1	1	1	1	5	1	1	1	5
clambour	1	1	1	1	1	1	1	1	1	1	5	3	1	1	1
clame	1	1	1	1	1	1	1	1	1	3	2	1	1	1	1
clammer	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
clamor	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1
clamour	1	1	1	1	1	1	1	1	1	2	2	2	2	3	1
clamp	1	1	1	1	1	1	1	1	1	3	1	1	1	1	3
clamp-down	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
clampdown	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1
clampt	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clamy	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
clan	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1
clan-controlled	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
clandestine	1	1	1	1	1	1	1	1	3	3	3	1	1	3	1
clang	1	1	1	1	1	1	1	1	1	2	4	1	1	1	2
clank	1	1	1	1	1	1	1	1	1	4	2	1	1	1	1
clansman	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
clansmen	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clap	1	1	1	1	1	1	1	1	1	3	3	1	1	1	1
clapper	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
clapse	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
clar	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
clara	1	1	1	1	1	1	1	1	1	2	1	1	4	1	1
clare	1	1	1	1	1	1	1	1	1	1	3	1	3	1	1
clarence	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
claret	1	1	1	1	3	1	1	1	1	1	1	1	5	1	1
clarfy	1	1	1	1	1	1	1	1	1	3	1	1	3	1	1
clarife	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clarification	1	1	1	1	1	1	1	1	1	3	2	1	2	1	1
clarifizedd	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clarify	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1
clarin	1	1	1	1	1	1	1	1	1	5	1	1	5	1	1
clarisa	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
clarisse	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
clarity	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clark	1	1	1	1	1	1	1	1	1	2	1	1	4	1	1
clarke	1	1	1	1	1	1	1	1	1	3	2	1	1	1	1
clarke\/huygens	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
claryfy	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clash	1	1	1	1	1	1	1	1	1	2	3	1	1	1	1
clashe	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
clashe\/ys	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
clasic	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clasificacion	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clasify	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clasp	1	1	1	1	1	1	1	1	1	3	3	1	1	1	1
class	1	1	1	1	1	1	1	1	1	4	2	2	2	1	1
classcify	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
classfy	1	1	1	1	1	1	1	1	3	3	1	3	3	1	1
classic	1	1	1	1	1	1	1	1	1	3	1	1	3	1	1
classical	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
classicism	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
classife	1	1	1	1	1	1	1	1	2	5	2	3	2	1	1
classifiable	1	1	1	1	1	1	1	1	1	3	3	1	3	1	1
classification	1	1	1	1	2	1	1	1	1	4	2	1	1	1	1
classify	1	1	1	1	1	1	1	1	1	3	1	2	2	1	1
classmate	1	1	1	1	1	1	1	1	1	3	1	1	3	1	1
classroom	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
classrooms-necessary	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
classy	1	1	1	1	1	1	1	2	1	5	1	1	1	1	1
clatter	1	1	1	1	1	1	1	1	1	3	3	1	1	1	1
claude	1	1	1	1	1	1	1	1	1	2	1	1	4	1	1
claudia	1	1	1	1	1	1	1	1	1	3	1	1	2	1	1
claudine	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
claudio	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1
claudiu	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
claus	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
clause	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1
clavero	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
clavet	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
claw	1	1	1	1	1	1	1	1	1	2	3	1	1	1	3
clay	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1
clay-bey	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clcoke	1	1	1	1	1	1	1	1	1	2	3	1	1	1	1
cle	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
cle-alexander	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
cle-byner	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
cle-fg	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
cle-mccardell	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
cle-metcalf	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clean	1	1	1	1	1	1	1	1	1	4	1	1	1	1	3
clean-bowl	1	1	1	1	1	1	5	1	1	1	1	1	1	1	1
clean-bowled	1	1	1	1	1	1	1	1	1	2	4	1	1	1	1
clean-bowling	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clean-jerked	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
clean-sweeped	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
clean-swept	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
clean-up	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clean\/kg	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
cleaned-up	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
cleaner	1	1	1	1	1	1	1	1	1	3	1	1	5	1	1
cleaning-up	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
cleanliness	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1
cleanly	1	1	1	1	1	1	1	1	5	1	1	1	5	1	1
cleanness	1	1	1	1	1	1	1	1	1	5	1	1	5	1	1
cleanse	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1
cleanswept	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
cleanup	1	1	1	1	1	1	1	1	2	5	2	1	1	1	1
clear	1	1	1	1	1	1	1	1	1	3	2	1	2	1	1
clear-cutting	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clear-eyed	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clear-fell	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clear-headed	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clear-minded	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clear-out	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clear-sighted	1	1	1	1	1	1	1	1	1	5	5	1	1	1	1
clear-up	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clearance	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clearcut	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clearedfor	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
clearify	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
clearing	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
clearing-up	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
cleark	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
clearly	1	1	1	1	1	1	1	1	1	3	1	1	2	1	1
clearly-defined	1	1	1	1	1	1	1	1	1	1	1	5	5	1	1
clearn	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clearner	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
clearsight	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clearup	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clearwater	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
clease	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
cleat	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1
cleave	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1
cleaver	1	1	1	1	1	1	1	1	1	5	1	1	5	1	1
clebrate	1	1	1	1	1	1	1	1	1	3	2	1	1	1	1
clef	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clegg	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
cleland	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
clemen	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
clement	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1
clemente	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1
clementine	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
clench	1	1	1	1	1	1	1	1	1	3	2	1	1	1	1
clense	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clercq	1	1	1	1	1	1	1	1	1	3	1	1	5	1	1
clerg	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clergy	1	1	1	1	1	1	1	1	1	3	1	1	3	1	1
clergymen	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1
cleric	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
cleride	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
clerk	1	1	1	1	1	1	1	1	1	3	3	2	2	1	1
cletus	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
cleve	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
cleveland	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
cleverer	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
cleverland	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
cleverson	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
clgainst	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
cli	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
cliam	1	1	1	1	1	1	1	1	1	2	4	1	1	1	1
clibm	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
clich	1	1	1	1	1	1	1	1	1	3	2	1	2	1	1
cliche	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
click	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1
cliff	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1
cliffe	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
cliffhange	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
cliffhanger	1	1	1	1	1	1	1	1	1	5	1	1	3	1	1
clijster	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
climate	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1
climatize	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
climax	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1
climb	1	1	1	1	1	1	1	1	1	2	3	1	1	1	1
climbdown	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
climber	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1
climbown	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
clime	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1
climibe	1	1	1	1	1	5	1	1	1	5	1	1	1	1	1
climn	1	1	1	1	1	1	1	1	1	5	1	1	1	1	5
clince	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
clinch	1	1	1	1	1	1	1	1	1	3	2	1	1	1	1
clinchb	1	1	1	1	5	1	1	1	1	1	5	1	1	1	1
clinck	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
cline	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1
cling	1	1	1	1	1	1	1	1	1	3	1	1	2	1	1
clinge	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
clinic	1	1	1	1	1	1	1	1	1	1	3	1	3	1	1
clinical	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1
clinically	1	1	1	1	1	1	1	1	1	5	2	1	1	1	2
clinician	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clink	1	1	1	1	1	1	1	1	1	4	3	1	1	1	1
clint	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
clinth	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clinton	1	1	1	1	1	1	1	1	1	3	1	1	2	1	1
clinton-yeltsin	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clip	1	1	1	1	1	1	1	1	1	3	3	1	1	1	1
clipper	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
clique	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1
clise	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clist	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
clithe	1	1	1	1	1	1	1	1	1	5	1	1	5	1	1
clive	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
cllaim	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
cllapse	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
clmed	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
clo	1	1	1	1	2	1	1	1	1	3	1	3	4	1	1
clo34l	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
cloak	1	1	1	1	1	1	1	1	1	4	1	2	2	1	1
cloallow	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
clobber	1	1	1	1	1	1	1	1	1	3	3	1	1	1	1
cloce	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
clock	1	1	1	1	1	1	1	1	1	2	4	1	1	1	1
clockd	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
clockmake	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clocle	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
cloesd	1	1	1	1	1	1	1	1	1	1	5	1	1	1	5
clog	1	1	1	1	1	1	1	1	1	4	1	2	1	1	1
cloister	1	1	1	1	1	1	1	1	1	4	3	3	2	1	2
clok	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clokce	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
cloke	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
clomiphene	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clone	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1
clooney	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clope	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
closd	1	1	1	1	1	1	1	1	1	1	5	1	1	1	5
closdt0	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
close	1	1	1	1	1	1	1	1	1	3	3	1	1	1	1
close-cropped	1	1	1	1	1	1	1	1	1	1	1	5	5	1	1
close-up	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
closed-door	1	1	1	1	1	1	1	1	1	5	1	1	3	1	1
closed-end	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
closed-ended	1	1	1	1	1	5	1	1	1	5	1	1	1	1	1
closed-off	1	1	1	1	1	1	1	1	1	1	5	3	1	1	1
closed\/fund	1	1	1	1	1	1	1	1	1	2	4	1	1	1	1
closely	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
closely-watched	1	1	1	1	1	1	1	1	1	5	1	1	5	5	1
closeness	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
closer	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1
closest	1	1	1	1	1	1	1	1	1	3	1	1	2	1	1
closet	1	1	1	1	1	1	1	1	1	4	3	3	1	1	1
clostridium	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
closure	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1
clot	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clot-dissolving	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
cloth	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clothbound	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clothe	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clothese	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
cloud	1	1	1	1	1	1	1	1	1	3	1	2	2	1	1
cloud-seeding	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
cloudy	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clout	1	1	1	1	1	1	1	1	1	3	2	1	1	1	1
clove	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
cloverleaf	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clown	1	1	1	1	1	1	1	1	1	4	1	1	1	1	2
clownish	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
cloy	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clr	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
clso	1	1	1	1	1	1	1	1	1	5	1	1	1	1	5
clsoe	1	1	1	1	1	1	1	1	1	3	1	1	3	1	1
clssome	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
club	1	1	1	1	1	1	1	1	1	3	3	1	1	1	1
club-mate	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
club\/americaone	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
club\/americatrue	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
clubhouse	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
clubmate	1	1	1	1	1	1	1	1	1	2	1	1	3	1	1
cluck	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1
cluctch	1	1	1	1	1	1	1	1	1	5	5	5	1	1	1
clude	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clue	1	1	1	1	1	1	1	1	1	4	1	3	3	1	2
clueless	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
clump	1	1	1	1	1	1	1	1	1	2	4	1	1	1	1
clumsy	1	1	1	1	1	1	1	1	1	5	3	3	1	1	1
clunk-clunk-clunking	1	1	1	1	1	1	1	1	1	1	5	1	1	5	5
cluster	1	1	1	1	1	1	1	1	1	4	1	2	1	1	1
clutch	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1
cluthch	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
clutter	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2
clydebank	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
cm	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1
cm\/d	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
cma	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
cmag	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1
cmc	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
cmc\/jpg	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
cmdr	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
cme	1	1	1	1	3	1	1	1	1	3	3	3	1	1	1
cmed	1	1	1	1	1	1	1	1	1	5	5	1	1	1	1
cmmi	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
cmntinue	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
cmo	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
cms4sr	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
cn	1	1	1	1	1	1	1	1	1	3	1	1	2	1	1
cna	1	1	1	1	1	1	1	1	1	3	1	1	3	1	1
cnam	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
cnbc	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
cncele	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
cndd	1	1	1	1	1	1	1	1	1	4	2	1	1	1	1
cndd-fdd	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
cne	1	1	1	1	1	1	1	1	1	4	1	1	2	1	1
cnet	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
cning	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
cnisel	1	1	1	1	1	1	1	1	1	5	1	1	5	1	1
cnn	1	1	1	1	1	1	1	1	1	2	1	1	3	1	1
cnooc	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
cnr	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
cnstock	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
cnthcipate	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
cntinue	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
cntradict	1	1	1	1	1	1	1	1	1	1	5	5	1	1	1
cntribute	1	1	1	1	1	1	1	1	1	3	3	1	1	1	1
cny	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
co	1	1	1	1	1	1	2	1	1	3	1	1	2	1	1
co-accused	1	1	1	1	1	1	1	1	1	4	2	1	1	1	1
co-act	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
co-administered	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
co-anchored	1	1	1	1	1	1	1	1	1	5	1	5	5	1	1
co-announced	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
co-arranged	1	1	1	1	1	1	1	1	1	3	1	3	3	1	1
co-arranging	1	1	1	1	1	1	1	1	1	1	5	1	1	5	1
co-author	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
co-authored	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
co-authoring	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
co-bid	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
co-branded	1	1	1	1	1	1	5	1	1	5	1	1	1	1	1
co-broadcast	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
co-brokered	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
co-build	1	1	1	1	1	1	5	1	1	1	1	1	1	1	1
co-building	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
co-called	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
co-celebrate	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
co-celebrated	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
co-celebrating	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
co-chair	1	1	1	1	1	1	3	1	1	2	1	1	1	1	1
co-chaird	1	1	1	1	1	1	1	1	1	5	1	1	5	5	1
co-chaired	1	1	1	1	1	1	1	1	1	3	3	1	1	1	1
co-chairing	1	1	1	1	1	1	1	1	1	3	1	1	2	3	1
co-chairman	1	1	1	1	1	1	1	1	1	3	1	1	1	1	3
co-chairmen	1	1	1	1	1	1	1	1	1	5	5	5	1	1	1
co-chairs	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
co-charied	1	1	1	1	1	1	1	1	1	5	5	5	1	1	1
co-commanded	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
co-commentator	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
co-compiled	1	1	1	1	1	1	1	1	1	5	3	3	1	1	1
co-conducted	1	1	1	1	1	1	1	1	1	4	2	1	1	1	1
co-conducting	1	1	1	1	1	1	1	1	1	1	1	1	5	5	1
co-conspirators	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
co-construct	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
co-constructed	1	1	1	1	1	1	1	1	1	5	2	2	1	1	1
co-create	1	1	1	1	1	1	3	1	1	3	1	1	1	1	1
co-created	1	1	1	1	1	1	1	1	1	3	4	3	1	1	1
co-curated	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
co-decide	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
co-decides	1	1	1	1	1	1	1	1	1	5	1	1	5	1	1
co-defendant	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
co-defendants	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
co-defended	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
co-defrauding	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
co-designed	1	1	1	1	1	1	1	1	1	4	3	2	1	1	1
co-develop	1	1	1	1	1	1	2	1	1	4	1	1	1	1	1
co-developed	1	1	1	1	1	1	1	1	1	4	2	2	1	1	1
co-developing	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
co-directed	1	1	1	1	1	1	1	1	1	2	4	1	1	1	1
co-directs	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
co-discovered	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
co-dominates	1	1	1	1	1	1	1	1	1	5	1	1	5	1	1
co-drafted	1	1	1	1	1	1	1	1	1	1	4	2	2	1	1
co-drive	1	1	1	1	1	1	5	1	1	5	1	1	1	1	1
co-driven	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
co-edited	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1
co-education	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
co-establish	1	1	1	1	1	1	2	1	1	4	1	1	1	1	1
co-established	1	1	1	1	1	1	1	1	1	5	2	1	1	1	1
co-establishing	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
co-evolve	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
co-exist	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
co-existed	1	1	1	1	1	1	1	1	1	1	2	3	2	1	1
co-existence	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1
co-existing	1	1	1	1	1	1	1	1	1	1	1	4	4	4	1
co-exists	1	1	1	1	1	1	1	1	1	2	1	1	5	1	1
co-finance	1	1	1	1	1	1	2	1	1	3	1	1	1	1	1
co-financed	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
co-financing	1	1	1	1	1	1	1	1	1	4	1	1	2	2	1
co-founded	1	1	1	1	1	1	1	1	1	2	5	1	1	1	1
co-founder	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
co-founding	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
co-fund	1	1	1	1	1	1	5	1	1	1	1	1	1	1	1
co-funded	1	1	1	1	1	1	1	1	1	4	2	2	1	1	1
co-funding	1	1	1	1	1	1	1	1	1	1	1	1	5	5	1
