"docid"	"segmentid"	"verb"	"text"	"ANNOTATOR1"	"ANNOTATOR2"	"MERGED"
"brown_learned"	"389"	"appear"	"Actually , there do not presently appear to be items in the statute comparable to a net operating loss carryover ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_religion"	"390"	"appear"	"Though the reference to race was stricken by the association in 1950 , being an agent of such `` detrimental '' influences still appears as the cardinal sin realtors see themselves committed to avoid ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_hobbies"	"391"	"appear"	"So frequently have pictures of the bridge appeared in books and in national publications that it vies with the old John Brown Fort at Harpers Ferry as the two nationally best known structures in West Virginia ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_belles_lettres"	"392"	"appear"	"The major effect of these advances appears to lie in the part they have played in the industrial revolution and in the tools which scientific understanding has given us to build and manipulate a more protective environment ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_learned"	"393"	"appear"	"The general intellectual outlook which had appeared in the eleventh century was now consolidated to a significant degree ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_learned"	"394"	"appear"	"It does not appear to affect the iodinating mechanism as such ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_learned"	"395"	"appear"	"In most places , there are two generations a year , a second brood of adults appearing late in the summer ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_fiction"	"396"	"appear"	"He couldn't appear as a composer now ."	"STATIVE"	"CONTEXT"	"BOTH"
"brown_news"	"397"	"appear"	"About 75 persons appeared at that time ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_belles_lettres"	"398"	"appear"	"The Burmese appeared to have little knowledge of British power or any idea of trade ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_belles_lettres"	"399"	"appear"	"The planter aristocracy has appeared in literature at least since John Pendleton Kennedy published Swallow-Barn in 1832 and in his genial portrait of Frank Meriwether presiding over his plantation dominion initiated the most persistent tradition of Southern literature ."	"STATIVE"	"DYNAMIC"	"BOTH"
"brown_news"	"400"	"appear"	"Meanwhile , there appears to be enough money in the road's reserve fund to cover the interest deficiency for eight more years ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_adventure"	"401"	"appear"	"I bobbed my head each time it appeared ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_editorial"	"402"	"appear"	"Edison could hardly have guessed , however , that Sophocles would one day appear in stereo ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_editorial"	"403"	"appear"	"With good reason it appeared that a new day was upon divided Christendom ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_learned"	"404"	"appear"	"The first section of this publication appeared in 1948 and the last supplement in 1960 ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_hobbies"	"405"	"appear"	"Jean-Paul Senesac , whose story appeared here two issues ago ; ;"	"STATIVE"	"STATIVE"	"STATIVE"
"brown_news"	"406"	"appear"	"-- The Gov. Jimmie H. Davis administration appears to face a difficult year in 1961 , with the governor's theme of peace and harmony subjected to severe stresses ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_learned"	"407"	"appear"	"It appeared that the theory could be saved in one way only ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_romance"	"408"	"appear"	"Then Julia appeared under the arch leading to the dining room ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_learned"	"409"	"appear"	"A quiet but sturdy theme , somewhat folklike in character , appears whenever the old monk speaks of the history he is recording or of his own past life :"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_learned"	"410"	"appear"	"Here we shall restrict discussion to those methods that appear sufficiently sensitive and precise for determining the concentration of TSH in blood ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_belles_lettres"	"411"	"appear"	"While there may still be many Faulknerian Lucas Beauchamps scattered through the rural South , such men appear to be a vanishing breed ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_lore"	"412"	"appear"	"while Jones , on the other hand , appeared perfectly confident and Ulyate decided perhaps that was the answer ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_editorial"	"413"	"appear"	"The Republican party was not lacking in humanity , but it permitted its extremely partisan leadership to make it appear devoid of any consideration for people in trouble ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_romance"	"414"	"appear"	"His mother , who had seen little of him for four years , appeared worried about his sailing off by himself for an Orient which , she herself having slight knowledge of it , had to be distrusted ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_reviews"	"415"	"take"	"The playing takes both sides of the disc ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_lore"	"416"	"take"	"She took refuge on a tongue of land extending into a gully , crouched at the base of a thorn tree , and waited for them to come up ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_news"	"417"	"take"	"Mr. Hawksley said he believed there are a number of qualified city residents who would be willing to take the full-time CD job ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_news"	"418"	"take"	"The statement did not mention what steps might be taken to overcome the legal obstacles to desegregation ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_editorial"	"419"	"take"	"The White House itself has taken steps to remove a former Batista official , Col. Mariano Faget , from his preposterous position as interrogator of Cuban refugees for the Immigration Service ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_news"	"420"	"take"	"It would give him an opportunity to take the measure of his chief adversary in the cold war , to try to probe Mr. Khrushchev's intentions and to make clear his own views ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_reviews"	"421"	"take"	"As soon as the fox has taken hold on most of the populace he imports more wharf rats , who , of course , say they are the aggrieved victims of an extermination campaign in the city ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_fiction"	"422"	"take"	"Couldn't take them near a river , though , or they'd squawk like a turkey cock the day before Thanksgiving '' ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_lore"	"423"	"take"	"I could tell you of plenty narrow escapes , but we take no notice of them now '' ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_science_fiction"	"424"	"take"	"She could take care of herself and her ambulatory half , in any situation already recorded in the annals of Central Worlds and any situation its most fertile minds could imagine ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_belles_lettres"	"425"	"take"	"He had taken out first papers for American citizenship ; ;"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_belles_lettres"	"426"	"take"	"In his own words , Bang-Jensen ' took it for granted that the Group would report to the Secretary General privately and not in public ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_editorial"	"427"	"take"	"I must , in fairness , take issue with his premise , primarily because the so-called scandals in labor unions were very much connected with business scandals ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_lore"	"428"	"take"	"William , who lived in neighboring St. Mary's parish , had taken charge and decided that it would be best for all if the plantation were operated for another year ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_lore"	"429"	"take"	"The partners each bring to it unselfish love , and each takes away an equal share of pleasure and joy ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_government"	"430"	"take"	"In this , as in so many aspects of our development assistance activities , the incentive effects of the posture we take are the most important ones ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_hobbies"	"431"	"take"	"He accepted the environment of his destiny -- took root and grew to fulfill the stature of his early promise ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_fiction"	"432"	"take"	"From the saddlebags , hung on a Hitchcock chair , David took out a good English razor , a present from John Hunter ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_belles_lettres"	"433"	"take"	"Although one meets with occasional extremists like Zachrisson or , very recently , Arthur Wade-Evans the majority of scholars have taken a middle position between the extremes of scepticism and gullibility ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_hobbies"	"434"	"take"	"The Outdoor Education Project took cognizance of the fact , so often overlooked , that athletic activities stressed in most school programs have little or no relationship to the physical and mental needs and interests of later life ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_learned"	"435"	"take"	"President Truman's Commission on Higher Education tended to take a liberal , expansionist position , while President Eisenhower's Committee on Education Beyond the High School was slightly more conservative ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_lore"	"436"	"take"	"almost everyone , on first hearing one of his own sessions on tape , expressed some desire to take the whole thing over again ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_romance"	"437"	"take"	"At the edge of the field , the wild rolling land took over , dotted with fat round bushes like sheep ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_fiction"	"438"	"take"	"I guess fooling Hans and me took doing ."	"STATIVE"	"DYNAMIC"	"BOTH"
"brown_news"	"439"	"take"	"In the past few years the men , mostly husbands of members , have taken an interest ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_adventure"	"440"	"take"	"His shout had been taken up and repeated ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_editorial"	"441"	"take"	"It is the intent of the law that their actions be taken openly and that their deliberations be conducted openly ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_mystery"	"442"	"take"	"He was in his car with his camera and equipment bag in less than two minutes , and it took him only three more to reach the corner , a block from Columbus Avenue ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_adventure"	"443"	"take"	"A spectacle occurred across the meadow : the lone marine took a seat on the ground ; ;"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_belles_lettres"	"444"	"take"	"Instead she waited for Alfred to get better and take care of her ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_hobbies"	"445"	"take"	"inns have burned down , moved elsewhere , or taken other names ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_learned"	"446"	"take"	"By permitting freshman students we might extend the opportunity for such a course to some individuals who otherwise might never get to take it ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_lore"	"447"	"take"	"In a growing number of American homes , marriage counselors report , the wife is taking a commanding role in sexual relationships ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_news"	"448"	"take"	"Nothing has been done yet to take advantage of the enabling legislation ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_mystery"	"449"	"take"	"It would take time ; ;"	"STATIVE"	"STATIVE"	"STATIVE"
"brown_news"	"450"	"take"	"`` A person with a master's degree in physics , chemistry , math or English , yet who has not taken Education courses , is not permitted to teach in the public schools '' , said Grover ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_belles_lettres"	"451"	"take"	"Finally they went off to file their stories , after the photographers had taken pictures of my latest vigil ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_adventure"	"452"	"take"	"He took a big swig of his drink ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_mystery"	"453"	"take"	"Well -- I'll take it down with me as I go '' ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_hobbies"	"454"	"take"	"Such modifications are all for the best but it takes something as different as a Deerstalker or a Jet to change arms-making concepts ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_mystery"	"455"	"take"	"A taxi took him back to the bar and grill where he had left his car , and a few minutes later he found a parking place across the street from his apartment ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_editorial"	"456"	"take"	"In his first six weeks in office he presided over 96 conferences , attended 35 official breakfasts and dinners , studied and signed 285 official papers and personally took 312 telephone calls ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_fiction"	"457"	"take"	"`` I ain't taking no goddamned chances for no Jew business '' ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_romance"	"458"	"take"	"Who would take over ? ?"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_belles_lettres"	"459"	"take"	"I persuaded an Australian friend who had lived `` outback '' for years to take me to see some aborigines living in the bush ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_fiction"	"460"	"take"	"He hesitated for a moment when Michelangelo asked him to disrobe , so Michelangelo gave him a piece of toweling to wrap around his loins , led him to the kitchen to take off his clothes ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_reviews"	"461"	"take"	"Shearing takes over"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_belles_lettres"	"462"	"take"	"I think you are being unfair to take these things up now ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_news"	"463"	"take"	"Until that first dedication service , he and Lois felt their children were too young to take part in any religious life at home ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_humor"	"464"	"take"	"She would sometimes even get a little hard on you , she took you so seriously ."	"STATIVE"	"BOTH"	"BOTH"
"brown_hobbies"	"465"	"take"	"On the following pages and in the following issues we take you every step of the way to your vacation cottage , from choosing the proper site to applying the final trim ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_hobbies"	"466"	"take"	"A dinner and celebration in honor of this piece of engineering took place July 4 , 1793 , in a tavern erected by the corporation on the island ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_lore"	"467"	"take"	"If , as a home movie maker , you shoot the inevitable footage of your child taking its first steps , you have merely recorded an historical event ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_romance"	"468"	"take"	"He could take the advice or leave it ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_adventure"	"469"	"take"	"When Fred Powell's brother-in-law , Charlie Keane , moved into the dead man's home , the anonymous letter writer took no chances on Charlie taking up where Fred had left off and wasted no time on a first notice :"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_lore"	"470"	"take"	"Or am I taking something that could really apply to almost anybody , and forgetting that many other people probably have had a similar experience '' ? ?"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_mystery"	"471"	"take"	"She took another bite of toast ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_mystery"	"472"	"take"	"It was a kick , but not a big enough one for me to want to take the chance again , except for stakes ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_science_fiction"	"473"	"take"	"Although this was the first time that Helva had seen unshelled people , she took this experience calmly ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_romance"	"474"	"take"	"Phil took off one shoe and stared at it ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_adventure"	"475"	"take"	"He grabbed her by the shoulders and went down on one knee , taking her weight so that some of the wind was driven out of him ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_hobbies"	"476"	"take"	"You pay your money and you take your choice ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_learned"	"477"	"take"	"If goodness and badness lie in attitudes only and hence are brought into being by them , those men who greeted death and misery with childishly merry laughter are taking the only sensible line ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_mystery"	"478"	"take"	"I kept trying to get him to take my money ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_romance"	"479"	"take"	"`` Every month , f'r three days '' , he said happily , `` I take no water into my system , no water whatsoever ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_reviews"	"480"	"take"	"Here Keys and others , such as Dr. A. E. Ahrens of the Rockefeller Institute , took over to demonstrate the chemical difference between vegetable and animal fats -- and even between different varieties of each ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_religion"	"481"	"take"	"From this earth , then , while it was still virgin God took dust and fashioned the man , the beginning of humanity '' ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_news"	"482"	"take"	"He made his fortune during World War 2 , when he took over a number of dying steel plants and kept them alive until the boom ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_mystery"	"483"	"take"	"I took a short swallow from it myself and handed it to him ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_news"	"484"	"take"	"The poll was taken at the Center's annual builders' intentions conference ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_news"	"485"	"take"	"Last fall , after they took their hopes for entering Georgia to court , Judge Bootle ordered them to apply again ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_romance"	"486"	"take"	"That done , I told Miss Groggins to take her patient back to bed and again put her out of my mind ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_adventure"	"487"	"take"	"The forest took on an impersonal aspect ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_hobbies"	"488"	"take"	"As a Christmas service , I've taken a close look at this year's crop of new models ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_adventure"	"489"	"take"	"Even so , it took her several days to force Walter to tell her Nicolas's whereabouts ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_government"	"490"	"take"	"The work program , as it was originally proposed , was to take five years to complete ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_reviews"	"491"	"take"	"Beatrice ( Nan Martin ) and Benedick ( J. D. Cannon ) took their places on the stage ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_reviews"	"492"	"take"	"This season the orchestra has already taken a step toward the suburbs in that it is giving six subscription concerts for the Orchestral Society of Westchester in the County Center in White Plains ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_adventure"	"493"	"take"	"His face took on a sudden pallor , became beaded with sweat , and he seemed to have trouble with his breathing ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_belles_lettres"	"494"	"take"	"He must take it from `` the red box '' ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_editorial"	"495"	"take"	"In designing his home fallout shelter there is nothing to prevent a man from planning to shelter that home's occupants , `` plus-one '' -- so he will be able to take in a stranger ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_belles_lettres"	"496"	"take"	"Then the various officers of the college might take up the case ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_adventure"	"497"	"take"	"`` But to take him and leave his mother behind is not good '' ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_learned"	"498"	"take"	"In the main , this course took the following directional high roads ."	"DYNAMIC"	"STATIVEHABITUAL"	"BOTH"
"brown_hobbies"	"499"	"take"	"Where an opportunity to enjoy boating has not been created by bringing bodies of water to the people , means have been found to take the people and their boats to the water ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_mystery"	"500"	"take"	"A clerk in the outer office took him in to Sheriff Carruthers , a big , paunchy man with thick , white hair and a voice with a senatorial resonance which suggested he should be running for higher office ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_belles_lettres"	"501"	"take"	"It generally took well into the autumn for the firm to recover from the summer's help ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_romance"	"502"	"take"	"`` No , I take classes with different people '' , he said ."	"DYNAMIC"	"STATIVEHABITUAL"	"BOTH"
"brown_mystery"	"503"	"take"	"He went to a closet to get a light jacket , and took his hat from beside the door ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_learned"	"504"	"take"	"Not always , though , does the development of a bumblebee colony take place in the smooth fashion we have just described ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_belles_lettres"	"505"	"take"	"Morgan took charge of the furniture and restored it to its thankful owners , but he let the culprits who had stolen it go free ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_fiction"	"506"	"take"	"The Americans , like yourself , take the fact for granted , try to be helpful , but don't ask questions ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_science_fiction"	"507"	"take"	"`` The ship is huge '' , said Macneff , `` but the number of military men and specialists we are taking limits the linguists to one ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_learned"	"508"	"take"	"If we were asked why we thought so , we should say that these things involve great evil and are wrong , and that to take delight in what is evil or wrong is plainly unfitting ."	"STATIVE"	"DYNAMIC"	"BOTH"
"brown_fiction"	"509"	"take"	"Cap would find him and take care of him ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_adventure"	"510"	"take"	"The man took two short steps backward then sat down heavily on the pavement ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_belles_lettres"	"511"	"take"	"The restaurant to which the Sakellariadises took us on this night of controversy was the Asteria , on Asteria beach ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_hobbies"	"512"	"take"	"we will take up alternative foundations later on ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_learned"	"513"	"take"	"The appropriate action for handling these forms can be taken at that time ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_humor"	"514"	"take"	"Nobody liked to hire him because you never could tell when he was going to be taken drunk ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_lore"	"515"	"take"	"`` To get a marriage back where it belongs '' , comments Dr. Schillinger of the Lincoln Institute , `` the husband must take some very basic steps ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_religion"	"516"	"take"	"Care must be taken neither to confuse unity with uniformity nor God with our parochial ideas about him , but with these two qualifications , the statement stands ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_romance"	"517"	"take"	"`` Don't take it like this '' , Frankie said ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_adventure"	"518"	"take"	"Greg took the formation wide around three A-26 attack bombers that were headed north over the Gulf ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_learned"	"519"	"take"	"A Mexican justice of the peace had issue a writ against Chavez for taking part in the `` murder '' of Manuel Gonzales so he and his father were anxious to be taken out of danger ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_belles_lettres"	"520"	"take"	"Entrance into such stellar song writing company encouraged the burgeoning song writer to take a wife , Elizabeth Meehan , a dancer in the Gaieties ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_mystery"	"521"	"take"	"If you draw the short straw I'll lend you some bread , like fifty bucks , before I take off to visit my sister in Frisco ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_fiction"	"522"	"take"	"He told Argiento to take a bird out of the cage , cut a large vein under its wing , let the blood gush into Michelangelo's injured eye ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_lore"	"523"	"take"	"The six expeditions to study eclipses of the sun , of which he was a member , took him to Colorado , Virginia , and California as well as to the South Pacific and to Russia ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_fiction"	"524"	"take"	"After he had gone , Kate asked Uncle Randolph proudly , `` Would you take their oath '' ? ?"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_news"	"525"	"take"	"When Continental Airlines night-coach Flight 54 took off at 11:30 one night last week , there was no reason to think it would take any longer ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_science_fiction"	"526"	"take"	"Sometimes B'dikkat took the new ones , resting in the everlasting sleep of their burned-out brains , in a ground-truck to be added to other herds ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_lore"	"527"	"take"	"The concessionaires also had to pay a tax of one-tenth on the goods they traded , and all pelts were to be taken to company stores and shipped to France in company ships ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_editorial"	"528"	"take"	"`` Remember the French railroad baron who was going to take me floating down the Nile '' ? ?"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_editorial"	"529"	"take"	"And it becomes clear why in general we cannot take the initiative against the Left ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_fiction"	"530"	"take"	"Somehow Winston didn't think she'd take to window boxes ."	"DYNAMIC"	"STATIVE"	"BOTH"
"brown_religion"	"531"	"take"	"Naturally , where one or the other of the effects of an action is uncertain , this has to be taken into account ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_adventure"	"532"	"take"	"He took it without flinching ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_news"	"533"	"take"	"The first witness , Moses Winston Mardis , 5835 Michigan Av. , a real estate agent and former bail bondsman , took the stand after opening statements had been made ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_lore"	"534"	"take"	"This development is reflected in the action taken in February , 1961 , by the general board of the National Council of Churches , the largest Protestant organization in the Aj ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_humor"	"535"	"take"	"He took his glass , clinked it against mine , and said , `` Toujours gai , what the hell '' ! !"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_fiction"	"536"	"take"	"It took a piece of bad luck to show Michelangelo that the boy was devoted to him ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_romance"	"537"	"take"	"He just took over the week Bill Daley was in the state basketball play-off '' ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_news"	"538"	"take"	"`` I am taking the position that the contract was clearly violated '' , Berger said ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_belles_lettres"	"539"	"take"	"one can take it as no more than another veil torn from the mystery of the soul ."	"STATIVE"	"STATIVE"	"STATIVE"
"brown_romance"	"540"	"take"	"He wisecracked about the captain's indoctrination of new men , took great delight in slaughtering cockroaches with ethyl chloride , and gave no thought for tomorrow ."	"STATIVE"	"DYNAMIC"	"BOTH"
"brown_belles_lettres"	"541"	"take"	"She would often go up on the roof to see the attendant take down the flag in the evening ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_belles_lettres"	"542"	"take"	"Every recorded request by Thomas for a delay in a flank movement or an advance was to gain time to take care of his horses ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_fiction"	"543"	"take"	"sometimes she opened her eyes and looked around , and sometimes she took a little milk or soup ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_romance"	"544"	"take"	"`` She'll take every one of them '' ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_adventure"	"545"	"take"	"She had to move in some direction -- any direction that would take her away from this evil place ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_hobbies"	"546"	"take"	"It pays in the long ( hot ) run to take good care of the water works ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_belles_lettres"	"547"	"take"	"By now he was undergoing a fresh torrent of abuse from Tory papers and pamphlets , and action was being taken to effect his punishment by expulsion from Parliament ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_belles_lettres"	"548"	"take"	"`` Mr. Miller was in the shop '' , the Herald Tribune story related , `` but was reluctant to have anybody's picture taken inside , because his business was too ' confidential ' for pictures ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_romance"	"549"	"take"	"Poor John will take it as a miracle and have every other independent steel company sitting up nights worrying about us '' ."	"DYNAMIC"	"STATIVE"	"BOTH"
"brown_adventure"	"550"	"take"	"Mary Jane took the page from him and began reading it , moving her lips with the words ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_news"	"551"	"take"	"The battalion chief said he had just gotten into his 1958 model automobile to move it from the driveway of his home so that he could take his other car to work ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_romance"	"552"	"take"	"Sometimes she took the path that winds up around my cottage to the walk at the edge of the cliff ."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"brown_news"	"553"	"carry"	"Her veil was caught to a crown , and she carried gardenias and stephanotis ."	"BOTH"	"BOTH"	"BOTH"
